seqname,source,feature,start,end,strand,GenBank_locus_tag,Product,gene_biotype,protein_id,name
NC_003317.1,RefSeq,gene,527288,527476,+,BME_RS16040,hypothetical protein,protein_coding,WP_002964613.1,BME_RS16040
NC_003317.1,RefSeq,gene,527466,528521,+,BME_RS02545,DUF1176 domain-containing protein,protein_coding,WP_002964611.1,BME_RS02545
NC_003317.1,RefSeq,gene,528790,529263,+,BME_RS02550,transcription elongation factor GreA,protein_coding,WP_002964610.1,BME_RS02550
NC_003317.1,RefSeq,gene,529270,530334,+,BME_RS02555,glycosyltransferase family 1 protein,protein_coding,WP_002964609.1,BME_RS02555
NC_003317.1,RefSeq,gene,530341,530811,-,BME_RS02560,Lrp/AsnC family transcriptional regulator,protein_coding,WP_004684054.1,BME_RS02560
NC_003317.1,RefSeq,gene,531069,532469,-,BME_RS02565,TrkH family potassium uptake protein,protein_coding,WP_004684053.1,BME_RS02565
NC_003317.1,RefSeq,gene,532791,533765,+,BME_RS02570,thioredoxin-disulfide reductase,protein_coding,WP_004684052.1,BME_RS02570
NC_003317.1,RefSeq,gene,533836,534741,+,BME_RS02575,LysR family transcriptional regulator,protein_coding,WP_002964604.1,BME_RS02575
NC_003317.1,RefSeq,gene,534793,535008,-,BME_RS02580,hypothetical protein,protein_coding,WP_002964603.1,BME_RS02580
NC_003317.1,RefSeq,gene,535005,535190,-,BME_RS02585,hypothetical protein,protein_coding,WP_004684051.1,BME_RS02585
NC_003317.1,RefSeq,gene,535210,536412,-,BME_RS02590,pyridoxal phosphate-dependent aminotransferase,protein_coding,WP_004684050.1,BME_RS02590
NC_003317.1,RefSeq,gene,536662,537273,+,BME_RS02595,glutathione S-transferase family protein,protein_coding,WP_002964600.1,BME_RS02595
NC_003317.1,RefSeq,gene,537402,537611,-,BME_RS02600,cold-shock protein,protein_coding,WP_004684049.1,BME_RS02600
NC_003317.1,RefSeq,gene,537804,538244,-,BME_RS02605,NUDIX domain-containing protein,protein_coding,WP_002969581.1,BME_RS02605
NC_003317.1,RefSeq,gene,538455,540320,+,BME_RS02610,ABC transporter ATP-binding protein/permease,protein_coding,WP_004684048.1,BME_RS02610
NC_003317.1,RefSeq,gene,540378,540779,-,BME_RS16045,hypothetical protein,protein_coding,WP_004684047.1,BME_RS16045
NC_003317.1,RefSeq,gene,541037,544525,-,BME_RS02615,carbamoyl phosphate synthase large subunit,protein_coding,WP_004684046.1,BME_RS02615
NC_003317.1,RefSeq,pseudogene,544760,545574,-,BME_RS02620,DNA-binding protein,pseudogene,NA,BME_RS02620
NC_003317.1,RefSeq,gene,545645,546163,+,BME_RS02625,DUF2306 domain-containing protein,protein_coding,WP_002964592.1,BME_RS02625
NC_003317.1,RefSeq,gene,546280,547206,+,BME_RS02630,flagellar biosynthesis protein FlgM,protein_coding,WP_004684044.1,BME_RS02630
NC_003317.1,RefSeq,gene,547378,548601,-,BME_RS02635,carbamoyl phosphate synthase small subunit,protein_coding,WP_002964590.1,BME_RS02635
NC_003317.1,RefSeq,gene,548981,549433,+,BME_RS02640,GatB/YqeY domain-containing protein,protein_coding,WP_002966905.1,BME_RS02640
NC_003317.1,RefSeq,pseudogene,549500,551176,-,BME_RS02645,Na+ cotransporter,pseudogene,NA,BME_RS02645
NC_003317.1,RefSeq,gene,551546,553513,+,BME_RS02650,DNA primase,protein_coding,WP_002964587.1,BME_RS02650
NC_003317.1,RefSeq,gene,553592,553822,-,BME_RS16050,hypothetical protein,protein_coding,WP_004686935.1,BME_RS16050
NC_003317.1,RefSeq,gene,553985,556003,+,BME_RS02655,RNA polymerase sigma factor RpoD,protein_coding,WP_002964585.1,BME_RS02655
NC_003317.1,RefSeq,gene,556027,556317,+,BME_RS02660,hypothetical protein,protein_coding,WP_002964584.1,BME_RS02660
NC_003317.1,RefSeq,gene,556509,556967,+,BME_RS02665,YcgN family cysteine cluster protein,protein_coding,WP_002964583.1,BME_RS02665
NC_003317.1,RefSeq,gene,557211,557555,+,BME_RS02670,hypothetical protein,protein_coding,WP_004684042.1,BME_RS02670
NC_003317.1,RefSeq,gene,557729,558481,-,BME_RS02675,SIMPL domain-containing protein,protein_coding,WP_002964581.1,BME_RS02675
NC_003317.1,RefSeq,gene,558758,558834,+,BME_RS02680,tRNA-Met,tRNA,NA,BME_RS02680
NC_003317.1,RefSeq,gene,558899,559393,-,BME_RS02685,integrase,protein_coding,WP_002967818.1,BME_RS02685
NC_003317.1,RefSeq,gene,559629,560201,+,BME_RS02690,hypothetical protein,protein_coding,WP_004684041.1,BME_RS02690
NC_003317.1,RefSeq,gene,560362,560715,-,BME_RS02695,hypothetical protein,protein_coding,WP_004684040.1,BME_RS02695
NC_003317.1,RefSeq,gene,560934,561509,+,BME_RS02700,hypothetical protein,protein_coding,WP_004686936.1,BME_RS02700
NC_003317.1,RefSeq,gene,561412,561711,+,BME_RS16055,hypothetical protein,protein_coding,WP_002964576.1,BME_RS16055
NC_003317.1,RefSeq,gene,561915,562718,-,BME_RS02710,hypothetical protein,protein_coding,WP_002971090.1,BME_RS02710
NC_003317.1,RefSeq,gene,562994,564097,+,BME_RS02715,linear amide C-N hydrolase,protein_coding,WP_002964574.1,BME_RS02715
NC_003317.1,RefSeq,gene,564160,564339,+,BME_RS16060,hypothetical protein,protein_coding,WP_002964573.1,BME_RS16060
NC_003317.1,RefSeq,gene,564295,564561,-,BME_RS02720,hypothetical protein,protein_coding,WP_002964572.1,BME_RS02720
NC_003317.1,RefSeq,pseudogene,564592,564796,-,BME_RS16065,hypothetical protein,pseudogene,NA,BME_RS16065
NC_003317.1,RefSeq,gene,564908,565969,+,BME_RS02725,DUF475 domain-containing protein,protein_coding,WP_011005085.1,BME_RS02725
NC_003317.1,RefSeq,gene,565966,566595,-,BME_RS02730,bifunctional nicotinamidase/pyrazinamidase,protein_coding,WP_002967816.1,BME_RS02730
NC_003317.1,RefSeq,gene,566733,566954,+,BME_RS02735,PhnA protein,protein_coding,WP_002964569.1,BME_RS02735
NC_003317.1,RefSeq,gene,566957,568075,-,BME_RS02740,hybrid-cluster NAD(P)-dependent oxidoreductase,protein_coding,WP_004684038.1,BME_RS02740
NC_003317.1,RefSeq,gene,568109,569356,-,BME_RS02745,aromatic ring-hydroxylating dioxygenase subunit alpha,protein_coding,WP_004686937.1,BME_RS02745
NC_003317.1,RefSeq,gene,569707,569949,+,BME_RS16070,D-lyxose/D-mannose family sugar isomerase,protein_coding,WP_005967907.1,BME_RS16070
NC_003317.1,RefSeq,gene,569964,570392,+,BME_RS16075,D-lyxose/D-mannose family sugar isomerase,protein_coding,WP_005967910.1,BME_RS16075
NC_003317.1,RefSeq,gene,570486,570899,-,BME_RS02755,hypothetical protein,protein_coding,WP_005967913.1,BME_RS02755
NC_003317.1,RefSeq,gene,570896,571150,-,BME_RS16080,hypothetical protein,protein_coding,WP_002971397.1,BME_RS16080
NC_003317.1,RefSeq,gene,571189,572133,-,BME_RS02760,alpha/beta hydrolase,protein_coding,WP_004684034.1,BME_RS02760
NC_003317.1,RefSeq,gene,572370,572549,+,BME_RS02765,hypothetical protein,protein_coding,WP_002964563.1,BME_RS02765
NC_003317.1,RefSeq,gene,572629,574278,+,BME_RS02770,energy-dependent translational throttle protein EttA,protein_coding,WP_004684033.1,BME_RS02770
NC_003317.1,RefSeq,pseudogene,574351,575117,+,BME_RS02775,trans-aconitate 2-methyltransferase,pseudogene,NA,BME_RS02775
NC_003317.1,RefSeq,gene,575291,575545,-,BME_RS16085,hypothetical protein,protein_coding,WP_004684032.1,BME_RS16085
NC_003317.1,RefSeq,gene,575538,576878,+,BME_RS02780,MFS transporter,protein_coding,WP_004686360.1,BME_RS02780
NC_003317.1,RefSeq,gene,576933,577256,-,BME_RS02785,DUF2293 domain-containing protein,protein_coding,WP_002964559.1,BME_RS02785
NC_003317.1,RefSeq,gene,577376,578401,+,BME_RS02790,methyltransferase domain-containing protein,protein_coding,WP_004684031.1,BME_RS02790
NC_003317.1,RefSeq,pseudogene,578447,579358,+,BME_RS02795,methylenetetrahydrofolate reductase [NAD(P)H],pseudogene,NA,BME_RS02795
NC_003317.1,RefSeq,gene,579793,580728,-,BME_RS02800,AEC family transporter,protein_coding,WP_004684029.1,BME_RS02800
NC_003317.1,RefSeq,gene,580790,581869,-,BME_RS02805,lytic murein transglycosylase,protein_coding,WP_014490148.1,BME_RS02805
NC_003317.1,RefSeq,gene,582144,582977,-,BME_RS02810,glycoside hydrolase,protein_coding,WP_004684028.1,BME_RS02810
NC_003317.1,RefSeq,gene,583281,583685,+,BME_RS02815,hypothetical protein,protein_coding,WP_004686941.1,BME_RS02815
NC_003317.1,RefSeq,gene,583804,584514,+,BME_RS02820,molecular chaperone DjlA,protein_coding,WP_004684026.1,BME_RS02820
NC_003317.1,RefSeq,gene,584511,585317,+,BME_RS02825,N-acetylmuramoyl-L-alanine amidase,protein_coding,WP_002964551.1,BME_RS02825
NC_003317.1,RefSeq,gene,585658,586302,+,BME_RS02830,lytic transglycosylase,protein_coding,WP_002964550.1,BME_RS02830
NC_003317.1,RefSeq,gene,586462,586887,+,BME_RS15765,NA,RNase_P_RNA,NA,rnpB
NC_003317.1,RefSeq,gene,587004,588374,-,BME_RS02835,divalent metal cation transporter,protein_coding,WP_002964549.1,BME_RS02835
NC_003317.1,RefSeq,gene,588601,588870,-,BME_RS16090,hypothetical protein,protein_coding,WP_002969152.1,BME_RS16090
NC_003317.1,RefSeq,gene,588848,589888,+,BME_RS02840,ribosomal RNA small subunit methyltransferase H,protein_coding,WP_002966896.1,BME_RS02840
NC_003317.1,RefSeq,gene,589893,590306,+,BME_RS02845,hypothetical protein,protein_coding,WP_004684025.1,BME_RS02845
NC_003317.1,RefSeq,gene,590297,592120,+,BME_RS02850,penicillin-binding protein 2,protein_coding,WP_004684024.1,BME_RS02850
NC_003317.1,RefSeq,gene,592175,593647,+,BME_RS02855,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase,protein_coding,WP_041594635.1,BME_RS02855
NC_003317.1,RefSeq,gene,593644,595089,+,BME_RS02860,UDP-N-acetylmuramoylalanyl-D-glutamyl-2%2C 6-diaminopimelate--D-alanyl-D-alanine ligase,protein_coding,WP_002964543.1,BME_RS02860
NC_003317.1,RefSeq,gene,595116,596198,+,BME_RS02865,phospho-N-acetylmuramoyl-pentapeptide-transferase,protein_coding,WP_002964542.1,BME_RS02865
NC_003317.1,RefSeq,gene,596211,597614,+,BME_RS02870,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,protein_coding,WP_004684022.1,BME_RS02870
NC_003317.1,RefSeq,gene,597614,598771,+,BME_RS02875,putative lipid II flippase FtsW,protein_coding,WP_002966894.1,BME_RS02875
NC_003317.1,RefSeq,gene,598998,600137,+,BME_RS02880,undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase,protein_coding,WP_004684021.1,BME_RS02880
NC_003317.1,RefSeq,gene,600134,601549,+,BME_RS02885,UDP-N-acetylmuramate--L-alanine ligase,protein_coding,WP_002964538.1,BME_RS02885
NC_003317.1,RefSeq,gene,601549,602517,+,BME_RS02890,UDP-N-acetylenolpyruvoylglucosamine reductase,protein_coding,WP_004684020.1,BME_RS02890
NC_003317.1,RefSeq,gene,602760,603686,+,BME_RS02895,D-alanine--D-alanine ligase,protein_coding,WP_004684019.1,BME_RS02895
NC_003317.1,RefSeq,gene,603674,604609,+,BME_RS02900,cell division protein FtsQ,protein_coding,WP_004684018.1,BME_RS02900
NC_003317.1,RefSeq,gene,604606,605928,+,BME_RS02905,cell division protein FtsA,protein_coding,WP_002964534.1,BME_RS02905
NC_003317.1,RefSeq,pseudogene,606025,607727,+,BME_RS02910,cell division protein FtsZ,pseudogene,NA,BME_RS02910
NC_003317.1,RefSeq,gene,608267,609127,+,BME_RS02915,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,protein_coding,WP_004684016.1,BME_RS02915
NC_003317.1,RefSeq,gene,609187,609450,-,BME_RS16095,hypothetical protein,protein_coding,WP_002964531.1,BME_RS16095
NC_003317.1,RefSeq,gene,609534,610397,+,BME_RS02920,outer membrane protein assembly factor BamD,protein_coding,WP_002964530.1,BME_RS02920
NC_003317.1,RefSeq,gene,610410,612089,+,BME_RS02925,DNA repair protein RecN,protein_coding,WP_004684015.1,BME_RS02925
NC_003317.1,RefSeq,gene,612275,614434,+,BME_RS02930,DNA ligase (NAD(+)) LigA,protein_coding,WP_004684014.1,BME_RS02930
NC_003317.1,RefSeq,gene,614434,615138,+,BME_RS02935,DUF2461 domain-containing protein,protein_coding,WP_004684013.1,BME_RS02935
NC_003317.1,RefSeq,gene,615139,616965,-,BME_RS02940,aminopeptidase P family protein,protein_coding,WP_004686943.1,BME_RS02940
NC_003317.1,RefSeq,gene,617042,617899,-,BME_RS02945,50S ribosomal protein L11 methyltransferase,protein_coding,WP_002964525.1,BME_RS02945
NC_003317.1,RefSeq,gene,617937,618527,-,BME_RS02950,SCO family protein,protein_coding,WP_004684011.1,BME_RS02950
NC_003317.1,RefSeq,gene,618636,619325,+,BME_RS02955,antibiotic acetyltransferase,protein_coding,WP_002969148.1,BME_RS02955
NC_003317.1,RefSeq,gene,619390,619887,+,BME_RS02960,hypothetical protein,protein_coding,WP_004684010.1,BME_RS02960
NC_003317.1,RefSeq,gene,619961,622537,-,BME_RS02965,ATP-dependent DNA helicase,protein_coding,WP_004684009.1,BME_RS02965
NC_003317.1,RefSeq,gene,622596,623672,-,BME_RS02970,serine/threonine protein kinase,protein_coding,WP_002964520.1,BME_RS02970
NC_003317.1,RefSeq,gene,623792,624301,+,BME_RS02975,heme-degrading domain-containing protein,protein_coding,WP_004686944.1,BME_RS02975
NC_003317.1,RefSeq,gene,624326,625732,+,BME_RS02980,FAD-binding protein,protein_coding,WP_002964518.1,BME_RS02980
NC_003317.1,RefSeq,gene,625924,629667,+,BME_RS02990,AsmA family protein,protein_coding,WP_005967964.1,BME_RS02990
NC_003317.1,RefSeq,gene,629695,629946,-,BME_RS02995,hypothetical protein,protein_coding,WP_002964516.1,BME_RS02995
NC_003317.1,RefSeq,gene,629943,630143,-,BME_RS03000,DUF4169 domain-containing protein,protein_coding,WP_002964515.1,BME_RS03000
NC_003317.1,RefSeq,gene,630524,631093,-,BME_RS03010,hypothetical protein,protein_coding,WP_004684007.1,BME_RS03010
NC_003317.1,RefSeq,gene,631174,631998,-,BME_RS03015,TetR/AcrR family transcriptional regulator,protein_coding,WP_005967970.1,BME_RS03015
NC_003317.1,RefSeq,pseudogene,632194,633406,+,BME_RS03020,Bcr/CflA family drug resistance efflux transporter,pseudogene,NA,BME_RS03020
NC_003317.1,RefSeq,gene,633423,633789,-,BME_RS16100,transfer-messenger RNA,tmRNA,NA,ssrA
NC_003317.1,RefSeq,gene,633794,633982,+,BME_RS16105,hypothetical protein,protein_coding,WP_004686374.1,BME_RS16105
NC_003317.1,RefSeq,gene,633979,634290,+,BME_RS03025,DUF2853 domain-containing protein,protein_coding,WP_002964509.1,BME_RS03025
NC_003317.1,RefSeq,gene,634391,635185,+,BME_RS03030,thymidylate synthase,protein_coding,WP_002964508.1,BME_RS03030
NC_003317.1,RefSeq,gene,635188,635706,+,BME_RS03035,dihydrofolate reductase,protein_coding,WP_002964507.1,BME_RS03035
NC_003317.1,RefSeq,gene,635831,636985,+,BME_RS03040,FtsH protease activity modulator HflK,protein_coding,WP_002964506.1,BME_RS03040
NC_003317.1,RefSeq,gene,636985,637887,+,BME_RS03045,protease modulator HflC,protein_coding,WP_004684004.1,BME_RS03045
NC_003317.1,RefSeq,gene,637907,638092,+,BME_RS03050,DUF2065 domain-containing protein,protein_coding,WP_002964504.1,BME_RS03050
NC_003317.1,RefSeq,gene,638316,639890,+,BME_RS03055,PDZ domain-containing protein,protein_coding,WP_004684003.1,BME_RS03055
NC_003317.1,RefSeq,gene,640020,641201,+,BME_RS03060,NAD(P)/FAD-dependent oxidoreductase,protein_coding,WP_004684002.1,BME_RS03060
NC_003317.1,RefSeq,gene,641242,642141,-,BME_RS03065,phosphoserine phosphatase SerB,protein_coding,WP_004686948.1,BME_RS03065
NC_003317.1,RefSeq,gene,642159,643091,+,BME_RS03070,tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA,protein_coding,WP_004684000.1,BME_RS03070
NC_003317.1,RefSeq,pseudogene,643171,643355,-,BME_RS16110,carbonic anhydrase,pseudogene,NA,BME_RS16110
NC_003317.1,RefSeq,gene,643338,645161,+,BME_RS03075,acetolactate synthase 3 large subunit,protein_coding,WP_004683999.1,BME_RS03075
NC_003317.1,RefSeq,gene,645180,645752,+,BME_RS03080,acetolactate synthase small subunit,protein_coding,WP_002964498.1,BME_RS03080
NC_003317.1,RefSeq,gene,645936,647057,+,BME_RS03085,ATP-binding protein,protein_coding,WP_002964497.1,BME_RS03085
NC_003317.1,RefSeq,gene,647058,647459,-,BME_RS03090,STAS/SEC14 domain-containing protein,protein_coding,WP_004686378.1,BME_RS03090
NC_003317.1,RefSeq,gene,647756,648496,+,BME_RS03095,pyridoxine 5'-phosphate synthase,protein_coding,WP_002964495.1,BME_RS03095
NC_003317.1,RefSeq,gene,648866,650821,+,BME_RS03100,potassium transporter Kup,protein_coding,WP_004683997.1,trkD
NC_003317.1,RefSeq,gene,651031,651672,+,BME_RS03105,TetR/AcrR family transcriptional regulator,protein_coding,WP_004683996.1,BME_RS03105
NC_003317.1,RefSeq,gene,651728,652747,+,BME_RS03110,ketol-acid reductoisomerase,protein_coding,WP_004683995.1,BME_RS03110
NC_003317.1,RefSeq,gene,652826,653050,+,BME_RS03115,hypothetical protein,protein_coding,WP_006642931.1,BME_RS03115
NC_003317.1,RefSeq,gene,653183,654415,+,BME_RS03120,PLP-dependent aminotransferase family protein,protein_coding,WP_004686380.1,BME_RS03120
NC_003317.1,RefSeq,gene,654461,654868,-,BME_RS03125,BA14K family protein,protein_coding,WP_004683992.1,BME_RS03125
NC_003317.1,RefSeq,gene,655053,656162,+,BME_RS03130,endonuclease,protein_coding,WP_002964487.1,BME_RS03130
NC_003317.1,RefSeq,pseudogene,656182,656914,+,BME_RS03135,NUDIX hydrolase,pseudogene,NA,BME_RS03135
NC_003317.1,RefSeq,gene,657019,657945,+,BME_RS03140,PhzF family phenazine biosynthesis protein,protein_coding,WP_002964485.1,BME_RS03140
NC_003317.1,RefSeq,gene,658097,658531,+,BME_RS03145,pyridoxamine 5'-phosphate oxidase family protein,protein_coding,WP_002969568.1,BME_RS03145
NC_003317.1,RefSeq,gene,658659,659684,-,BME_RS03150,hypothetical protein,protein_coding,WP_004685740.1,BME_RS03150
NC_003317.1,RefSeq,gene,659953,660342,+,BME_RS03155,fluoride efflux transporter CrcB,protein_coding,WP_004683990.1,BME_RS03155
NC_003317.1,RefSeq,gene,660355,661167,+,BME_RS03160,fluoride ion transporter CrcB,protein_coding,WP_004683989.1,BME_RS03160
NC_003317.1,RefSeq,pseudogene,661188,661907,-,BME_RS16115,cobalt ABC transporter ATP-binding protein,pseudogene,NA,BME_RS16115
NC_003317.1,RefSeq,gene,661904,662668,-,BME_RS03175,cobalt ECF transporter T component CbiQ,protein_coding,WP_002964479.1,BME_RS03175
NC_003317.1,RefSeq,gene,662665,663291,-,BME_RS03180,hypothetical protein,protein_coding,WP_002966884.1,BME_RS03180
NC_003317.1,RefSeq,pseudogene,663288,663924,-,BME_RS03185,cobalamin biosynthesis protein CbiM,pseudogene,NA,BME_RS03185
NC_003317.1,RefSeq,gene,663944,664702,-,BME_RS03190,DUF4198 domain-containing protein,protein_coding,WP_002964476.1,BME_RS03190
NC_003317.1,RefSeq,gene,664729,665778,-,BME_RS03195,urea transporter,protein_coding,WP_002964475.1,BME_RS03195
NC_003317.1,RefSeq,gene,665788,666696,-,BME_RS03200,urease accessory protein ureD 2,protein_coding,WP_002967786.1,BME_RS03200
NC_003317.1,RefSeq,gene,666696,667334,-,BME_RS03205,Urease accessory protein UreG 2,protein_coding,WP_002964473.1,BME_RS03205
NC_003317.1,RefSeq,gene,667350,668081,-,BME_RS03210,urease accessory protein UreF,protein_coding,WP_004686385.1,BME_RS03210
NC_003317.1,RefSeq,gene,668053,668658,-,BME_RS03215,urease accessory protein UreE,protein_coding,WP_004683986.1,ureE
NC_003317.1,RefSeq,gene,668706,670427,-,BME_RS03220,urease subunit alpha 2,protein_coding,WP_004683985.1,BME_RS03220
NC_003317.1,RefSeq,gene,670467,670946,-,BME_RS03225,urease subunit beta,protein_coding,WP_002964470.1,BME_RS03225
NC_003317.1,RefSeq,gene,670995,671297,-,BME_RS03230,urease subunit gamma,protein_coding,WP_002964469.1,BME_RS03230
NC_003317.1,RefSeq,gene,672112,673407,+,BME_RS03235,glycoside hydrolase family 10 protein,protein_coding,WP_002964467.1,BME_RS03235
NC_003317.1,RefSeq,gene,673480,673716,+,BME_RS16120,hypothetical protein,protein_coding,WP_002964466.1,BME_RS16120
NC_003317.1,RefSeq,gene,673794,673973,-,BME_RS16125,hypothetical protein,protein_coding,WP_011069007.1,BME_RS16125
NC_003317.1,RefSeq,gene,673953,675020,+,BME_RS03240,glycoside hydrolase family 43,protein_coding,WP_004685732.1,BME_RS03240
NC_003317.1,RefSeq,pseudogene,675017,677787,+,BME_RS03245,multidrug ABC transporter ATP-binding protein,pseudogene,NA,BME_RS03245
NC_003317.1,RefSeq,gene,677789,678901,+,BME_RS03250,ABC transporter permease,protein_coding,WP_004683980.1,BME_RS03250
NC_003317.1,RefSeq,gene,679395,681257,+,BME_RS03255,TonB-dependent receptor,protein_coding,WP_004683979.1,BME_RS03255
NC_003317.1,RefSeq,gene,681271,682110,+,BME_RS03260,ABC transporter substrate-binding protein,protein_coding,WP_002964461.1,BME_RS03260
NC_003317.1,RefSeq,gene,682103,683104,+,BME_RS03265,iron ABC transporter permease,protein_coding,WP_002964460.1,BME_RS03265
NC_003317.1,RefSeq,gene,683101,683877,+,BME_RS03270,ABC transporter ATP-binding protein,protein_coding,WP_002964459.1,BME_RS03270
NC_003317.1,RefSeq,gene,683874,684989,-,BME_RS03275,gfo/Idh/MocA family oxidoreductase,protein_coding,WP_005968073.1,BME_RS03275
NC_003317.1,RefSeq,gene,685368,685784,+,BME_RS16130,hypothetical protein,protein_coding,WP_005968076.1,BME_RS16130
NC_003317.1,RefSeq,gene,685766,686278,+,BME_RS16135,sugar ABC transporter substrate-binding protein,protein_coding,WP_005968078.1,BME_RS16135
NC_003317.1,RefSeq,gene,686565,687692,+,BME_RS03285,ABC transporter permease,protein_coding,WP_004683976.1,BME_RS03285
NC_003317.1,RefSeq,gene,687706,688485,+,BME_RS03290,sugar ABC transporter ATP-binding protein,protein_coding,WP_004683975.1,BME_RS03290
NC_003317.1,RefSeq,gene,688500,689309,+,BME_RS03295,NAD(P)-dependent oxidoreductase,protein_coding,WP_004683974.1,BME_RS03295
NC_003317.1,RefSeq,gene,689403,689825,+,BME_RS03300,RbsD/FucU transporter,protein_coding,WP_002964452.1,BME_RS03300
NC_003317.1,RefSeq,gene,689959,690498,-,BME_RS03305,calcium-binding protein,protein_coding,WP_002975819.1,BME_RS03305
NC_003317.1,RefSeq,gene,690744,690819,-,BME_RS03310,tRNA-Lys,tRNA,NA,BME_RS03310
NC_003317.1,RefSeq,gene,690782,690988,-,BME_RS16140,hypothetical protein,protein_coding,WP_011005125.1,BME_RS16140
NC_003317.1,RefSeq,gene,691395,692057,+,BME_RS03315,DedA family protein,protein_coding,WP_002964450.1,BME_RS03315
NC_003317.1,RefSeq,gene,692475,694043,+,BME_RS03320,TerC family protein,protein_coding,WP_004683973.1,BME_RS03320
NC_003317.1,RefSeq,gene,694223,694408,+,BME_RS03325,hypothetical protein,protein_coding,WP_002969141.1,BME_RS03325
NC_003317.1,RefSeq,gene,694674,695678,+,BME_RS03330,sulfate ABC transporter substrate-binding protein,protein_coding,WP_004683972.1,BME_RS03330
NC_003317.1,RefSeq,gene,695850,696671,+,BME_RS03335,sulfate ABC transporter permease subunit CysT,protein_coding,WP_002966872.1,BME_RS03335
NC_003317.1,RefSeq,gene,696658,697488,+,BME_RS03340,sulfate ABC transporter permease subunit CysW,protein_coding,WP_004683971.1,BME_RS03340
NC_003317.1,RefSeq,pseudogene,697534,698139,-,BME_RS16145,esterase,pseudogene,NA,BME_RS16145
NC_003317.1,RefSeq,gene,698366,699337,-,BME_RS03355,lysylphosphatidylglycerol synthetase family protein,protein_coding,WP_002964443.1,BME_RS03355
NC_003317.1,RefSeq,gene,699337,701196,-,BME_RS03360,Kef family K(+) transporter,protein_coding,WP_004683970.1,BME_RS03360
NC_003317.1,RefSeq,gene,701274,703811,-,BME_RS03365,protein translocase subunit SecDF,protein_coding,WP_004683969.1,BME_RS03365
NC_003317.1,RefSeq,gene,703920,704387,-,BME_RS03370,hypothetical protein,protein_coding,WP_002969562.1,BME_RS03370
NC_003317.1,RefSeq,gene,704577,707153,+,BME_RS03375,mechanosensitive ion channel family protein,protein_coding,WP_004686954.1,BME_RS03375
NC_003317.1,RefSeq,gene,707260,707550,+,BME_RS03380,hypothetical protein,protein_coding,WP_004683967.1,BME_RS03380
NC_003317.1,RefSeq,pseudogene,707636,710197,-,BME_RS03385,dehydrogenase,pseudogene,NA,BME_RS03385
NC_003317.1,RefSeq,gene,710463,711461,-,BME_RS03395,GlxA family transcriptional regulator,protein_coding,WP_041594636.1,BME_RS03395
NC_003317.1,RefSeq,gene,711907,712827,+,BME_RS03400,LysR family transcriptional regulator,protein_coding,WP_004683963.1,BME_RS03400
NC_003317.1,RefSeq,gene,713007,713141,+,BME_RS03405,entericidin%2C EcnA/B family,protein_coding,WP_004686401.1,BME_RS03405
NC_003317.1,RefSeq,gene,713537,714427,-,BME_RS03410,3-hydroxyisobutyrate dehydrogenase,protein_coding,WP_004683962.1,BME_RS03410
NC_003317.1,RefSeq,gene,714459,715616,-,BME_RS03415,acyl-CoA dehydrogenase,protein_coding,WP_002964431.1,BME_RS03415
NC_003317.1,RefSeq,gene,715695,715880,+,BME_RS16150,hypothetical protein,protein_coding,WP_002964430.1,BME_RS16150
NC_003317.1,RefSeq,gene,715891,717342,+,BME_RS03420,cobyric acid synthase CobQ,protein_coding,WP_004683961.1,BME_RS03420
NC_003317.1,RefSeq,gene,717656,717844,+,BME_RS03425,cobalt transporter,protein_coding,WP_002964428.1,BME_RS03425
NC_003317.1,RefSeq,gene,717933,718649,+,BME_RS03430,cobalt transporter,protein_coding,WP_002967760.1,BME_RS03430
NC_003317.1,RefSeq,gene,718655,719176,+,BME_RS03435,bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase,protein_coding,WP_002964426.1,BME_RS03435
NC_003317.1,RefSeq,gene,719180,720229,+,BME_RS03440,cobalamin biosynthesis protein CobW,protein_coding,WP_004683960.1,BME_RS03440
NC_003317.1,RefSeq,gene,720229,724020,+,BME_RS03445,cobaltochelatase subunit CobN,protein_coding,WP_004683959.1,BME_RS03445
NC_003317.1,RefSeq,gene,724013,724651,+,BME_RS03450,cob(I)yrinic acid a%2Cc-diamide adenosyltransferase,protein_coding,WP_002964423.1,BME_RS03450
NC_003317.1,RefSeq,gene,724651,725079,+,BME_RS03455,EamA family transporter,protein_coding,WP_002967757.1,BME_RS03455
NC_003317.1,RefSeq,pseudogene,725076,725862,-,BME_RS03460,hypothetical protein,pseudogene,NA,BME_RS03460
NC_003317.1,RefSeq,gene,726022,726468,+,BME_RS03465,hypothetical protein,protein_coding,WP_004683956.1,BME_RS03465
NC_003317.1,RefSeq,gene,726461,726856,+,BME_RS03470,precorrin-3B C(17)-methyltransferase,protein_coding,WP_002964419.1,BME_RS03470
